2025-06-17 09:36:22 | INFO | voice_tts_manager | 使用 pygame 作為音訊播放器
2025-06-17 09:36:22 | INFO | voice_tts_manager | Google TTS 引擎初始化成功
2025-06-17 09:36:22 | INFO | voice_tts_manager | pyttsx3 引擎初始化成功
2025-06-17 09:36:22 | INFO | voice_tts_manager | TTSManager 初始化完成，主要引擎: gtts
2025-06-17 09:37:02 | INFO | voice_tts_manager | 使用 pygame 作為音訊播放器
2025-06-17 09:37:02 | INFO | voice_tts_manager | Google TTS 引擎初始化成功
2025-06-17 09:37:03 | INFO | voice_tts_manager | pyttsx3 引擎初始化成功
2025-06-17 09:37:03 | INFO | voice_tts_manager | TTSManager 初始化完成，主要引擎: gtts
2025-06-17 09:38:02 | INFO | voice_tts_manager | 使用 pygame 作為音訊播放器
2025-06-17 09:38:02 | INFO | voice_tts_manager | Google TTS 引擎初始化成功
2025-06-17 09:38:03 | INFO | voice_tts_manager | pyttsx3 引擎初始化成功
2025-06-17 09:38:03 | INFO | voice_tts_manager | TTSManager 初始化完成，主要引擎: gtts
2025-06-17 09:38:12 | INFO | voice_tts_manager | 使用 pygame 作為音訊播放器
2025-06-17 09:38:12 | INFO | voice_tts_manager | Google TTS 引擎初始化成功
2025-06-17 09:38:13 | INFO | voice_tts_manager | pyttsx3 引擎初始化成功
2025-06-17 09:38:13 | INFO | voice_tts_manager | TTSManager 初始化完成，主要引擎: gtts
2025-06-17 09:38:43 | INFO | voice_tts_manager | 使用 pygame 作為音訊播放器
2025-06-17 09:38:43 | INFO | voice_tts_manager | Google TTS 引擎初始化成功
2025-06-17 09:38:43 | INFO | voice_tts_manager | pyttsx3 引擎初始化成功
2025-06-17 09:38:43 | INFO | voice_tts_manager | TTSManager 初始化完成，主要引擎: gtts
2025-06-17 09:39:16 | INFO | voice_tts_manager | 使用 pygame 作為音訊播放器
2025-06-17 09:39:16 | INFO | voice_tts_manager | Google TTS 引擎初始化成功
2025-06-17 09:39:16 | INFO | voice_tts_manager | pyttsx3 引擎初始化成功
2025-06-17 09:39:16 | INFO | voice_tts_manager | TTSManager 初始化完成，主要引擎: gtts
2025-06-17 09:39:43 | INFO | voice_tts_manager | 使用 pygame 作為音訊播放器
2025-06-17 09:39:43 | INFO | voice_tts_manager | Google TTS 引擎初始化成功
2025-06-17 09:39:44 | INFO | voice_tts_manager | pyttsx3 引擎初始化成功
2025-06-17 09:39:44 | INFO | voice_tts_manager | TTSManager 初始化完成，主要引擎: gtts
2025-06-17 09:40:47 | INFO | voice_tts_manager | 使用 pygame 作為音訊播放器
2025-06-17 09:40:47 | INFO | voice_tts_manager | Google TTS 引擎初始化成功
2025-06-17 09:40:48 | INFO | voice_tts_manager | pyttsx3 引擎初始化成功
2025-06-17 09:40:48 | INFO | voice_tts_manager | TTSManager 初始化完成，主要引擎: gtts
2025-06-17 09:51:50 | INFO | voice_tts_manager | 使用 pygame 作為音訊播放器
2025-06-17 09:51:50 | INFO | voice_tts_manager | Google TTS 引擎初始化成功
2025-06-17 09:51:51 | INFO | voice_tts_manager | pyttsx3 引擎初始化成功
2025-06-17 09:51:51 | INFO | voice_tts_manager | TTSManager 初始化完成，主要引擎: gtts
2025-06-17 11:01:40 | INFO | libraries.local_voice_verifying.voice_tts_manager | 使用 pygame 作為音訊播放器
2025-06-17 11:01:40 | INFO | libraries.local_voice_verifying.voice_tts_manager | Google TTS 引擎初始化成功
2025-06-17 11:01:41 | INFO | libraries.local_voice_verifying.voice_tts_manager | pyttsx3 引擎初始化成功
2025-06-17 11:01:41 | INFO | libraries.local_voice_verifying.voice_tts_manager | TTSManager 初始化完成，主要引擎: gtts
2025-06-17 11:04:37 | INFO | voice_tts_manager | 使用 pygame 作為音訊播放器
2025-06-17 11:04:37 | INFO | voice_tts_manager | Google TTS 引擎初始化成功
2025-06-17 11:04:38 | INFO | voice_tts_manager | pyttsx3 引擎初始化成功
2025-06-17 11:04:38 | INFO | voice_tts_manager | TTSManager 初始化完成，主要引擎: gtts
2025-06-17 11:04:47 | INFO | libraries.local_voice_verifying.voice_tts_manager | 使用 pygame 作為音訊播放器
2025-06-17 11:04:47 | INFO | libraries.local_voice_verifying.voice_tts_manager | Google TTS 引擎初始化成功
2025-06-17 11:04:48 | INFO | libraries.local_voice_verifying.voice_tts_manager | pyttsx3 引擎初始化成功
2025-06-17 11:04:48 | INFO | libraries.local_voice_verifying.voice_tts_manager | TTSManager 初始化完成，主要引擎: gtts
2025-06-17 11:05:00 | INFO | voice_tts_manager | 使用 pygame 作為音訊播放器
2025-06-17 11:05:00 | INFO | voice_tts_manager | Google TTS 引擎初始化成功
2025-06-17 11:05:01 | INFO | voice_tts_manager | pyttsx3 引擎初始化成功
2025-06-17 11:05:01 | INFO | voice_tts_manager | TTSManager 初始化完成，主要引擎: gtts
2025-06-17 11:05:12 | INFO | voice_tts_manager | 使用 pygame 作為音訊播放器
2025-06-17 11:05:12 | INFO | voice_tts_manager | Google TTS 引擎初始化成功
2025-06-17 11:05:13 | INFO | voice_tts_manager | pyttsx3 引擎初始化成功
2025-06-17 11:05:13 | INFO | voice_tts_manager | TTSManager 初始化完成，主要引擎: gtts
2025-06-17 11:07:50 | INFO | voice_tts_manager | 使用 pygame 作為音訊播放器
2025-06-17 11:07:50 | INFO | voice_tts_manager | Google TTS 引擎初始化成功
2025-06-17 11:07:51 | INFO | voice_tts_manager | pyttsx3 引擎初始化成功
2025-06-17 11:07:51 | INFO | voice_tts_manager | TTSManager 初始化完成，主要引擎: gtts
